date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.1,1.08,0.65,0.24,0.8,0.28,316
2019-12-10T00:00:00.000Z,0.18,2.84,0.6,0.42,1.09,0.562,409
2019-12-11T00:00:00.000Z,0.2,2.7,1.08,0.75,1.57,0.543,415
2019-12-12T00:00:00.000Z,0.1,57.25,9.31,0.52,11.11,5.961,494
2019-12-13T00:00:00.000Z,1.65,12.64,5.7,4.17,7.84,2.642,557
2019-12-14T00:00:00.000Z,0.82,9.98,2.96,1.85,5.3,2.404,399
2019-12-15T00:00:00.000Z,0.53,5.62,1.52,0.95,2.27,0.883,572
2019-12-16T00:00:00.000Z,0.46,2.48,0.92,0.74,1.67,0.537,289
2019-12-17T00:00:00.000Z,0.93,5.79,2.96,2.27,4.17,1.228,288
2019-12-18T00:00:00.000Z,0,2.24,0.66,0.4,0.93,0.481,468
2019-12-19T00:00:00.000Z,0.55,6.98,1.82,0.9,3.96,1.697,553
2019-12-20T00:00:00.000Z,3.73,17.76,10.73,7.8,13.02,3.166,574
2019-12-21T00:00:00.000Z,5.88,28.25,19.16,16.8,23.6,4.391,557
2019-12-22T00:00:00.000Z,0.94,27.48,3.25,2.7,3.98,2.039,566
2019-12-23T00:00:00.000Z,1.68,13.18,3.15,2.2,4.5,2.106,566
2019-12-24T00:00:00.000Z,3.44,12.22,4.8,4.12,7.09,1.74,580
2019-12-25T00:00:00.000Z,0.45,8.4,4.01,2.66,5.04,1.995,574
2019-12-26T00:00:00.000Z,0.55,8.18,1.35,0.93,1.72,0.719,537
2019-12-27T00:00:00.000Z,0.25,2.88,1.23,0.85,1.42,0.418,564
2019-12-28T00:00:00.000Z,0.7,23.05,1.8,1.13,2.35,1.837,583
2019-12-29T00:00:00.000Z,1.33,12.66,5.35,2.66,7.58,2.86,586
2019-12-30T00:00:00.000Z,0.42,8.64,2.46,1.88,3.22,1.406,574
2019-12-31T00:00:00.000Z,0,19.14,0.33,0.2,0.47,1.158,554
2020-01-01T00:00:00.000Z,0.2,2.64,0.65,0.5,1.32,0.562,567
2020-01-02T00:00:00.000Z,0.97,7.04,4.12,3.05,4.84,1.404,564
2020-01-03T00:00:00.000Z,0.05,3.72,0.5,0.3,0.83,0.658,547
2020-01-04T00:00:00.000Z,0.05,2.27,0.4,0.26,0.56,0.261,548
2020-01-05T00:00:00.000Z,0.26,5.09,0.64,0.5,0.85,0.404,530
2020-01-06T00:00:00.000Z,0.15,14.02,1.23,0.97,1.45,1.102,519
2020-01-07T00:00:00.000Z,0.05,9.8,2.12,0.35,3.74,1.804,503
2020-01-08T00:00:00.000Z,0.25,2.6,1.27,1.1,1.5,0.377,499
2020-01-09T00:00:00.000Z,1.02,5.32,1.68,1.45,2.24,0.769,519
2020-01-10T00:00:00.000Z,0.65,6.8,1.55,1.28,2.88,1.099,417
2020-01-11T00:00:00.000Z,0.25,329.21,1.22,0.85,1.5,20.317,517
2020-01-12T00:00:00.000Z,0,1.62,0.75,0.25,0.94,0.384,546
2020-01-13T00:00:00.000Z,0.55,3.82,1.13,0.96,1.35,0.34,483
2020-01-14T00:00:00.000Z,0.85,7.85,1.77,1.25,3.37,1.49,434
2020-01-15T00:00:00.000Z,0.05,8.68,0.82,0.6,1.32,1.127,460
2020-01-16T00:00:00.000Z,0.25,3.65,1.76,1.27,2.15,0.698,472
2020-01-17T00:00:00.000Z,0.97,13.82,4,1.49,9.44,4.082,453
2020-01-18T00:00:00.000Z,0.1,14.78,5.43,0.86,11.62,5.055,479
2020-01-19T00:00:00.000Z,0.15,2.65,0.4,0.35,0.5,0.271,447
2020-01-20T00:00:00.000Z,0.25,1.86,0.88,0.7,1.2,0.363,360
2020-01-21T00:00:00.000Z,0.05,2.54,0.8,0.4,1.68,0.687,460
2020-01-22T00:00:00.000Z,0.13,0.67,0.3,0.22,0.38,0.122,17
2020-01-23T00:00:00.000Z,0.35,1.11,0.59,0.5,0.7,0.163,86
2020-01-24T00:00:00.000Z,0.33,1.46,0.7,0.6,0.83,0.184,267
2020-01-25T00:00:00.000Z,0.16,6.25,0.45,0.34,0.8,0.585,300
2020-01-26T00:00:00.000Z,0.24,2.36,0.8,0.6,1.05,0.364,308
2020-01-27T00:00:00.000Z,1.53,9.82,3.84,2.73,5.03,1.95,257
2020-01-28T00:00:00.000Z,1.94,8.74,5.55,4.66,6.75,1.714,274
2020-01-29T00:00:00.000Z,0.45,7.01,2.65,1.1,3.8,1.45,307
2020-01-30T00:00:00.000Z,0.75,9.98,4.05,2.42,5.04,1.602,291
2020-01-31T00:00:00.000Z,0.1,5.82,1.33,0.54,2.65,1.176,285
2020-02-01T00:00:00.000Z,0,6.62,1.3,0.88,1.7,0.8,325
2020-02-02T00:00:00.000Z,0,3,0.25,0.15,0.38,0.296,337
2020-02-03T00:00:00.000Z,0,5.53,0.45,0.15,2.04,1.157,322
