date,min,max,median,q1,q3,stdev,count
2025-10-12T00:00:00.000Z,69,106,73,69,80,11.963,14
2025-10-13T00:00:00.000Z,39,106,70,51,74,16.303,94
2025-10-14T00:00:00.000Z,34,102,79,42,90,22.8,95
2025-10-15T00:00:00.000Z,40,140,90,68.5,106,27.395,80
2025-10-16T00:00:00.000Z,47,149,95,64,114,29.318,96
2025-10-17T00:00:00.000Z,53,123,96,69,107,21.22,90
2025-10-18T00:00:00.000Z,63,124,105,75,114,21.718,74
2025-10-19T00:00:00.000Z,73,179,122,88,152.5,32.887,96
2025-10-20T00:00:00.000Z,99,1901,141,123,626,457.676,93
2025-10-21T00:00:00.000Z,72,1901,197,102,350,614.701,86
2025-10-22T00:00:00.000Z,96,276,147,143,211,52.063,39
2025-10-23T00:00:00.000Z,57,136,92,79,106,20.708,69
2025-10-24T00:00:00.000Z,41,122,88,56.5,105,25.907,68
2025-10-25T00:00:00.000Z,63,145,87,85.5,90.5,21.782,32
2025-10-26T00:00:00.000Z,54,98,87,78,89,12.339,8
2025-10-27T00:00:00.000Z,80,182,125,104,138,25.556,93
2025-10-28T00:00:00.000Z,85,191,124,111,141,26.966,83
2025-10-29T00:00:00.000Z,100,219,167,138,194,33.605,95
2025-10-30T00:00:00.000Z,97,324,148,122,195,61.745,86
2025-10-31T00:00:00.000Z,59,130,92,80,108,21.134,90
2025-11-01T00:00:00.000Z,80,354,246,99,326,98.538,78
2025-11-02T00:00:00.000Z,130,265,221,158,235,47.625,22
2025-11-03T00:00:00.000Z,52,136,63,56,85,25.008,27
2025-11-04T00:00:00.000Z,44,140,67.5,59,79,17.921,72
2025-11-05T00:00:00.000Z,38,423,83,55,312,137.313,89
2025-11-06T00:00:00.000Z,48,469,102,64,368.5,158.617,64
2025-11-07T00:00:00.000Z,67,259,145,88,179,54.256,51
2025-11-08T00:00:00.000Z,106,400,178,118,233,74.084,82
2025-11-09T00:00:00.000Z,100,226,185,124,199,40.604,89
2025-11-10T00:00:00.000Z,224,376,332,245,367,57.228,68
2025-11-11T00:00:00.000Z,128,338,274,212,309,64.813,54
2025-11-12T00:00:00.000Z,121,318,241,184,257,55.005,93
2025-11-13T00:00:00.000Z,158,350,251,228,274,39.999,94
2025-11-14T00:00:00.000Z,149,317,240,193,272,51.418,85
2025-11-15T00:00:00.000Z,140,283,201,182,233,37.398,91
2025-11-16T00:00:00.000Z,94,269,173,138,190,43.591,92
2025-11-17T00:00:00.000Z,83,226,149,113,160,39.393,77
2025-11-18T00:00:00.000Z,134,283,216,198,239.5,33.243,52
2025-11-19T00:00:00.000Z,130,300,189,140,230.5,48.885,44
